
총 유효 샘플: 3000
기존 SRDF 미등록 충돌쌍: 65개

=== 항상 충돌 (Default 등록 후보, 0쌍) ===

=== 애매하게 충돌 (진짜 self-collision 위험, disable 금지, 65쌍) ===
    link_034 / link_037: 2907/3000 (96.9%)
    link_052 / link_041: 2888/3000 (96.3%)
    link_026 / link_002: 2839/3000 (94.6%)
    link_047 / link_045: 2675/3000 (89.2%)
    link_034 / link_040: 2430/3000 (81.0%)
    link_044 / link_046: 1303/3000 (43.4%)
    link_043 / link_045: 824/3000 (27.5%)
    link_041 / link_049: 107/3000 (3.6%)
    link_031 / link_006: 45/3000 (1.5%)
    link_031 / link_007: 45/3000 (1.5%)
    link_039 / base_link: 31/3000 (1.0%)
    base_link / link_006: 31/3000 (1.0%)
    base_link / link_007: 31/3000 (1.0%)
    base_link / link_036: 27/3000 (0.9%)
    link_039 / link_031: 26/3000 (0.9%)
    link_037 / base_link: 26/3000 (0.9%)
    link_023 / link_031: 26/3000 (0.9%)
    link_031 / link_036: 24/3000 (0.8%)
    link_031 / link_037: 24/3000 (0.8%)
    link_023 / base_link: 20/3000 (0.7%)
    link_028 / link_006: 20/3000 (0.7%)
    link_028 / link_007: 20/3000 (0.7%)
    link_033 / base_link: 16/3000 (0.5%)
    link_034 / base_link: 16/3000 (0.5%)
    link_040 / base_link: 16/3000 (0.5%)
    base_link / link_041: 13/3000 (0.4%)
    base_link / link_035: 13/3000 (0.4%)
    link_034 / link_031: 12/3000 (0.4%)
    link_033 / link_031: 12/3000 (0.4%)
    link_031 / link_027: 12/3000 (0.4%)
    link_029 / link_039: 11/3000 (0.4%)
    link_028 / link_023: 10/3000 (0.3%)
    link_031 / link_041: 9/3000 (0.3%)
    base_link / link_027: 9/3000 (0.3%)
    link_028 / link_039: 8/3000 (0.3%)
    link_040 / link_031: 8/3000 (0.3%)
    link_033 / link_029: 8/3000 (0.3%)
    link_034 / link_029: 8/3000 (0.3%)
    link_040 / link_029: 8/3000 (0.3%)
    link_031 / link_035: 7/3000 (0.2%)
    base_link / link_038: 7/3000 (0.2%)
    link_012 / link_025: 6/3000 (0.2%)
    link_029 / link_036: 6/3000 (0.2%)
    link_031 / link_038: 6/3000 (0.2%)
    link_051 / base_link: 5/3000 (0.2%)
    link_051 / link_031: 4/3000 (0.1%)
    link_028 / link_033: 4/3000 (0.1%)
    link_029 / link_035: 4/3000 (0.1%)
    link_023 / link_029: 3/3000 (0.1%)
    link_052 / base_link: 2/3000 (0.1%)
    link_055 / base_link: 2/3000 (0.1%)
    link_028 / link_036: 2/3000 (0.1%)
    link_052 / link_031: 2/3000 (0.1%)
    link_029 / link_007: 1/3000 (0.0%)
    link_028 / link_034: 1/3000 (0.0%)
    link_028 / link_037: 1/3000 (0.0%)
    link_028 / link_040: 1/3000 (0.0%)
    link_029 / link_041: 1/3000 (0.0%)
    link_028 / link_041: 1/3000 (0.0%)
    link_033 / link_030: 1/3000 (0.0%)
    link_039 / link_030: 1/3000 (0.0%)
    link_023 / link_027: 1/3000 (0.0%)
    link_029 / link_037: 1/3000 (0.0%)
    link_031 / link_055: 1/3000 (0.0%)
    link_029 / link_006: 1/3000 (0.0%)
